dataset_label,nct_id,brief_title,lead_sponsor_class,primary_purpose,intervention_types,enrollment,arm_group_count,location_count,country_count,countries,africa_countries,has_africa_site,start_date,primary_completion_date,results_first_post_date,trial_duration_days,results_reporting_lag_days,registration_lead_days,prospectively_registered,has_results_section,has_publication_reference,has_result_reference,pmids,result_pmids,publication_lag_days,speed_score,frugality_score,dissemination_score,overall_efficiency_score
global,NCT02746679,"Impact of Mindfulness Based Stress Reduction on Anxiety, Depression and QOL in Women With Intrauterine Adhesion.",OTHER,PREVENTION,OTHER,226,2,0,0,,,False,2015-01-01,2015-11-01,2016-08-26,304,299,-474,False,True,True,False,14747645|23265707,,,91.39,68.34,45.7,74.18
global,NCT04287517,Efficacy of Capacitive-Resistive Therapy on the Treatment of Myofascial Pain,OTHER,TREATMENT,DEVICE,40,2,1,1,Turkey (Türkiye),,False,2019-12-12,2020-03-15,2020-04-15,94,31,-71,False,True,True,False,25042309|30892438,,,98.61,52.36,49.3,72.56
global,NCT02498522,Effect of Metformin on Early Pregnancy Loss in Pregnant Women With Polycystic Ovarian Syndrome,OTHER,PREVENTION,DRUG,166,2,1,1,Egypt,Egypt,True,2015-08-01,2016-02-01,2016-05-19,184,108,19,True,True,False,False,,,,96.39,45.69,54.2,70.21
africa,NCT02498522,Effect of Metformin on Early Pregnancy Loss in Pregnant Women With Polycystic Ovarian Syndrome,OTHER,PREVENTION,DRUG,166,2,1,1,Egypt,Egypt,True,2015-08-01,2016-02-01,2016-05-19,184,108,19,True,True,False,False,,,,96.39,45.69,54.2,70.21
global,NCT02551887,HPV Vaccination: An Investigation of Physician Reminders and Recommendation Scripts,OTHER,HEALTH_SERVICES_RESEARCH,BEHAVIORAL,647,3,0,0,,,False,2014-02-01,2015-04-01,2016-02-04,424,309,-591,False,True,True,False,12463818|14960401|15360800|15595944|16310136|16779000|16949997|17484215|17531764|17673339|18998823|19664226|20138345|20307840|20354417|20809965|20838362|20885162|21288799|21672910|21924315|22018560|22342548|22508925|22744960|23027469|23324976|23506489|23599298|23650297|23732252|23785124|23909011|23958768|23985496|24013368|24108159|26625475|28797293,,,87.5,58.2,43.75,68.5
global,NCT05868954,Implementation of a Mediterranean Diet Program for Overweight or Obese Pregnant Women in a Low-resource Clinical Setting,OTHER,PREVENTION,BEHAVIORAL,41,2,1,1,United States,,False,2023-08-31,2024-11-30,2025-12-08,457,373,112,True,True,False,False,,,,85.28,52.22,48.64,66.38
africa,NCT05747599,Adapting and Testing a Behavioural Intervention to Prevent FASD and Adverse Infant Outcomes,OTHER,PREVENTION,BEHAVIORAL,48,2,1,1,South Africa,South Africa,True,2023-04-01,2024-09-10,2025-02-10,528,153,61,True,True,False,False,,,,85.0,51.53,48.5,65.99
africa,NCT03280381,Nifty Feeding Cup Versus Generic Medicine Cup Preterm Infants Who Have Difficulty Breastfeeding,OTHER,OTHER,OTHER,200,2,1,1,Ghana,Ghana,True,2017-08-15,2018-09-25,2019-08-08,406,317,-22,False,True,False,False,,,,87.22,44.44,43.61,63.52
global,NCT02396160,The Effect of Urox™ in the Treatment of Overactive Bladder and Urinary Incontinence,OTHER,TREATMENT,DIETARY_SUPPLEMENT | OTHER,150,2,0,0,,,False,2013-08-01,2014-12-01,2016-05-05,487,521,-593,False,True,True,False,29385990,,,69.44,71.25,34.72,63.13
africa,NCT02083107,Comparison Between Rectal & Sublingual Misoprostol Before Caesarian Section To Reduce Intra & Post-Operative Blood Loss,OTHER,PREVENTION,DRUG | OTHER,636,3,1,1,Egypt,Egypt,True,2013-02-01,2014-02-01,2014-06-27,365,146,-399,False,True,False,False,,,,92.22,33.89,46.11,62.58
africa,NCT01622257,Cavitation Ultrasound in Treatment of Patients With PCOS,OTHER,TREATMENT,DEVICE | DRUG | OTHER,198,3,1,1,Egypt,Egypt,True,2011-06-01,2012-01-01,2013-02-07,214,403,-383,False,True,False,False,,,,87.22,41.11,43.61,62.36
global,NCT03894813,Probiotics as Adjuvant Treatment for Bacterial Vaginosis,OTHER,TREATMENT,DRUG,126,2,1,1,China,,False,2019-03-26,2020-12-30,2021-07-09,645,191,12,True,True,False,False,,,,80.84,47.5,46.42,62.29
global,NCT04696146,Berinert (C1INH) vs Placebo for DGF/IRI,OTHER,PREVENTION,DRUG,45,2,1,1,United States,,False,2021-03-03,2022-07-31,2023-09-29,515,425,71,True,True,True,False,40349965,,,76.39,51.94,44.2,61.39
global,NCT02608177,Continuous Glucose Monitoring to Assess Glycemia in Chronic Kidney Disease - Changing Glucose Management,OTHER,TREATMENT,DRUG,3,2,1,1,United States,,False,2015-11-01,2017-08-01,2018-09-13,639,408,-15,False,True,False,False,,,,73.33,55.0,36.66,59.58
global,NCT05063994,Comparison of Chronocort Versus Standard Hydrocortisone Replacement Therapy in Participants Aged 16 Years and Over With Congenital Adrenal Hyperplasia,INDUSTRY,TREATMENT,DRUG | OTHER,55,2,21,3,France | Japan | United States,,False,2022-05-24,2024-02-02,2025-02-24,619,388,361,True,True,False,False,,,,77.5,44.72,44.75,59.48
